Date,Price,Open,High,Low,Vol.,Change %
26/01/2026,40.13,40.8,40.8,40.13,0.01K,0.23%
23/01/2026,40.039,37.2,40.039,37.2,0.29K,5.15%
22/01/2026,38.079,39.225,41.8,37.45,0.42K,-2.88%
21/01/2026,39.208,34.55,39.925,34.4,0.40K,9.25%
20/01/2026,35.887,34.7,37.095,33.215,1.12K,2.20%
19/01/2026,35.115,35.115,35.455,33.215,0.33K,-4.78%
16/01/2026,36.879,33.95,37.99,33.95,0.67K,11.22%
15/01/2026,33.158,32.27,33.64,31.975,1.42K,4.23%
14/01/2026,31.813,30.725,32.925,30.42,1.85K,1.08%
13/01/2026,31.473,32.12,32.3,30.67,1.52K,4.06%
12/01/2026,30.246,28.95,30.58,28.905,0.81K,6.60%
09/01/2026,28.374,27.62,28.565,27.62,1.90K,2.44%
08/01/2026,27.699,27.745,27.845,27.495,0.81K,-3.75%
07/01/2026,28.777,28.5,29.14,28.345,0.88K,2.51%
06/01/2026,28.072,27.62,28.195,27.575,1.37K,2.46%
05/01/2026,27.399,27.975,27.98,27.15,1.24K,-5.53%
02/01/2026,29.004,28.48,29.05,28.405,1.26K,2.99%
31/12/2025,28.161,27.755,28.43,27.755,0.03K,1.42%
30/12/2025,27.766,27.766,27.766,27.766,,-2.69%
29/12/2025,28.534,28.45,29,28.42,0.01K,1.56%
26/12/2025,28.095,28.095,28.095,28.095,,0.00%
24/12/2025,28.095,28.22,28.22,28.17,0.02K,1.31%
23/12/2025,27.732,27.79,27.79,27.79,0.01K,0.16%
22/12/2025,27.687,27.687,27.687,27.687,0.00K,-1.68%
19/12/2025,28.161,27.95,28.475,27.755,0.92K,1.84%
18/12/2025,27.652,27.55,27.835,27.3,0.53K,1.08%
17/12/2025,27.357,27.085,27.475,27.075,1.13K,2.22%
16/12/2025,26.764,26.97,27,26.68,1.05K,-2.41%
15/12/2025,27.425,27.73,27.745,27.28,0.56K,-0.94%
12/12/2025,27.684,27.355,27.56,27.245,0.49K,3.28%
11/12/2025,26.805,26.715,26.92,26.635,0.91K,0.76%
10/12/2025,26.602,27.015,27.09,26.55,1.41K,-3.23%
09/12/2025,27.489,27.4,27.53,27.34,0.42K,2.30%
08/12/2025,26.871,27.55,27.67,26.805,0.76K,-1.45%
05/12/2025,27.266,27.36,27.36,27.105,1.08K,0.66%
04/12/2025,27.088,27.575,27.58,27.055,1.11K,-3.96%
03/12/2025,28.206,27.995,28.27,27.995,1.11K,0.56%
02/12/2025,28.05,27.715,28.105,27.56,1.13K,-0.63%
01/12/2025,28.227,28.275,28.43,27.88,0.69K,-2.05%
28/11/2025,28.817,29.07,29.16,28.655,0.17K,-1.88%
26/11/2025,29.368,29.37,29.5,29.26,0.05K,-0.06%
25/11/2025,29.386,29.65,29.65,29.245,0.06K,-1.21%
24/11/2025,29.747,30.025,30.025,29.3,0.09K,-1.49%
21/11/2025,30.198,30.62,30.7,30.485,2.21K,-3.08%
20/11/2025,31.159,31.035,31.195,30.89,2.59K,0.71%
19/11/2025,30.94,31.155,31.185,30.675,1.96K,-2.38%
18/11/2025,31.694,31.74,31.95,31.49,2.16K,0.88%
17/11/2025,31.418,31.475,31.6,31.23,2.88K,0.54%
14/11/2025,31.25,30.745,31.08,30.59,1.11K,2.60%
13/11/2025,30.458,31.01,31.01,30.375,5.16K,-1.54%
12/11/2025,30.933,31.365,31.365,30.8,7.75K,-0.54%
11/11/2025,31.102,31.04,31.18,30.885,1.33K,0.10%
10/11/2025,31.071,31.3,31.465,30.84,9.39K,-0.42%
07/11/2025,31.201,31.49,31.505,31.145,5.59K,-1.10%
06/11/2025,31.548,31.445,31.725,31.445,3.55K,-0.85%
05/11/2025,31.819,32.1,32.12,31.695,2.28K,-2.25%
04/11/2025,32.551,31.94,32.495,31.93,8.19K,2.55%
03/11/2025,31.741,31.555,31.88,31.535,,1.99%
31/10/2025,31.122,31.185,31.335,31.095,1.26K,0.24%
30/10/2025,31.048,36,36,36,0.00K,-2.58%
29/10/2025,31.869,31.869,31.869,31.869,0.02K,1.19%
28/10/2025,31.494,31.315,31.71,31.315,0.02K,0.30%
27/10/2025,31.4,31.38,31.44,31.285,0.79K,-1.92%
24/10/2025,32.016,32.2,32.2,31.855,1.64K,-1.35%
23/10/2025,32.454,32.25,32.795,32.25,4.11K,2.16%
22/10/2025,31.768,32.05,32.185,31.67,6.08K,-1.34%
21/10/2025,32.2,31.435,32.27,31.435,4.45K,1.45%
20/10/2025,31.739,31.775,31.775,31.59,1.69K,-0.24%
17/10/2025,31.816,32.195,32.315,31.84,2.18K,-1.74%
16/10/2025,32.378,32.265,32.65,32.165,3.79K,1.73%
15/10/2025,31.826,31.75,31.85,31.44,1.44K,0.08%
14/10/2025,31.801,31.46,31.86,31.46,2.53K,1.04%
13/10/2025,31.475,31.825,31.845,31.345,,-2.16%
10/10/2025,32.17,32.08,32.185,31.88,3.17K,-0.60%
09/10/2025,32.363,32.195,32.52,32.065,2.78K,-1.03%
08/10/2025,32.7,33.57,33.57,32.645,3.17K,-1.64%
07/10/2025,33.246,33.5,33.625,33.04,4.23K,0.39%
06/10/2025,33.116,32.45,33.215,32.425,3.24K,5.34%
03/10/2025,31.438,31.105,31.625,30.97,3.86K,-0.05%
02/10/2025,31.455,31.445,31.475,31.055,4.05K,0.38%
01/10/2025,31.335,31.275,31.385,30.79,2.93K,-0.24%
30/09/2025,31.411,32.255,32.255,31.43,3.97K,-2.02%
29/09/2025,32.06,32.28,32.28,32.1,0.06K,-1.95%
26/09/2025,32.697,32.655,32.71,32.525,0.38K,0.74%
25/09/2025,32.456,32.405,32.565,32.35,0.08K,1.73%
24/09/2025,31.903,32.16,32.39,32,0.08K,-1.12%
23/09/2025,32.265,32.03,32.7,31.99,0.33K,1.32%
22/09/2025,31.844,32.1,32.2,31.765,0.19K,-1.44%
19/09/2025,32.308,32.66,32.965,32.17,2.11K,-1.95%
18/09/2025,32.952,32.555,33.035,32.545,2.38K,1.70%
17/09/2025,32.401,32.605,32.76,32.335,1.86K,0.22%
16/09/2025,32.329,31.91,32.45,31.91,5.07K,0.54%
15/09/2025,32.154,32.2,32.4,32,2.55K,-1.56%
12/09/2025,32.662,32.395,32.8,32.065,2.76K,1.05%
11/09/2025,32.323,32.51,32.59,32.31,3.10K,-2.41%
10/09/2025,33.122,33.24,33.42,33.005,3.91K,0.58%
09/09/2025,32.931,33.085,33.11,32.225,3.51K,-0.40%
08/09/2025,33.064,32.2,33.12,32.2,3.50K,3.43%
05/09/2025,31.969,32.52,32.705,31.91,6.17K,-1.37%
04/09/2025,32.412,31.84,32.605,31.84,6.65K,0.93%
03/09/2025,32.112,31.525,32.36,31.42,3.59K,1.07%
02/09/2025,31.772,32.2,32.625,31.665,4.13K,-1.56%
01/09/2025,32.275,32.275,32.285,31.88,0.08K,2.07%
29/08/2025,31.622,31.75,31.87,31.6,3.28K,0.20%
28/08/2025,31.559,31.275,31.275,31.275,0.00K,-3.05%
27/08/2025,32.551,32.7,32.815,32.59,1.27K,-2.72%
26/08/2025,33.46,33.6,33.69,33.3,0.26K,-0.93%
25/08/2025,33.774,33.275,33.82,33.25,0.06K,0.60%
22/08/2025,33.573,33.4,33.6,33.065,0.41K,1.20%
21/08/2025,33.175,32.245,33.395,32.015,1.96K,3.98%
20/08/2025,31.906,31.375,32.275,31.225,2.63K,2.17%
19/08/2025,31.227,30.725,31.375,30.725,3.63K,-0.14%
18/08/2025,31.272,30.65,31.485,30.65,2.64K,0.78%
15/08/2025,31.031,31.975,31.975,30.795,2.52K,-3.45%
14/08/2025,32.141,32.86,32.86,31.95,1.95K,-1.41%
13/08/2025,32.6,32.615,32.8,32.485,2.31K,0.59%
12/08/2025,32.409,33.065,33.065,32.215,2.08K,-1.79%
11/08/2025,32.999,32.49,33.125,32.4,2.69K,1.70%
08/08/2025,32.446,32.78,33.41,32.155,3.78K,-1.53%
07/08/2025,32.951,32.95,33.15,32.845,2.79K,-0.92%
06/08/2025,33.257,33.995,34.105,33.08,1.60K,-3.34%
05/08/2025,34.406,34.19,34.44,33.79,7.53K,0.36%
04/08/2025,34.283,34.065,34.37,33.66,6.74K,0.92%
01/08/2025,33.972,35.15,35.16,33.77,2.90K,-3.70%
31/07/2025,35.279,34.685,35.425,34.645,4.92K,2.15%
30/07/2025,34.537,33.65,33.65,33.65,0.01K,1.27%
29/07/2025,34.103,34.103,34.103,34.103,0.08K,3.66%
28/07/2025,32.899,32.295,33.03,32.13,0.25K,1.23%
25/07/2025,32.499,32.1,32.65,32.1,0.41K,0.44%
24/07/2025,32.358,32.385,32.435,32.175,5.14K,-1.02%
23/07/2025,32.69,33.505,33.695,32.605,4.15K,-1.27%
22/07/2025,33.111,33.215,33.405,32.95,4.21K,-0.14%
21/07/2025,33.159,33.83,33.915,33.125,2.22K,-1.30%
18/07/2025,33.595,34.6,34.6,33.43,6.46K,-2.36%
17/07/2025,34.407,35.14,35.25,34.325,6.84K,-1.15%
16/07/2025,34.809,34.655,35.115,34.45,14.48K,1.06%
15/07/2025,34.445,35.105,35.145,34.205,19.50K,-2.85%
14/07/2025,35.454,35.54,36.32,35.09,12.25K,-0.30%
11/07/2025,35.561,34.93,35.615,34.755,10.93K,1.11%
10/07/2025,35.17,34.655,35.35,34.655,12.66K,2.52%
09/07/2025,34.304,34.32,34.9,34.275,8.65K,0.25%
08/07/2025,34.219,34.005,34.59,33.895,15.26K,1.78%
07/07/2025,33.621,33.21,34.045,32.985,7.42K,0.57%
04/07/2025,33.43,33.95,33.95,33.275,0.08K,-0.57%
03/07/2025,33.621,33.65,34.21,33.435,16.35K,0.09%
02/07/2025,33.591,33.98,34.425,33.21,17.11K,-0.30%
01/07/2025,33.693,33.1,33.845,32.885,9.59K,2.42%
30/06/2025,32.898,33.35,33.45,32.7,2.42K,-0.57%
27/06/2025,33.087,33.087,33.087,33.087,,-2.75%
26/06/2025,34.024,35.305,35.31,34.05,0.13K,-3.89%
25/06/2025,35.401,35.45,35.945,35.12,0.79K,-0.60%
24/06/2025,35.615,36.485,36.55,35.085,0.81K,-12.11%
23/06/2025,40.522,41.6,41.9,40.29,4.11K,-0.99%
20/06/2025,40.929,39.955,41.795,39.88,8.71K,-1.34%
19/06/2025,41.485,41.485,41.795,39.88,0.98K,7.22%
18/06/2025,38.693,39.55,40.365,38.655,3.56K,-1.57%
17/06/2025,39.309,38.18,39.7,38.175,11.95K,3.70%
16/06/2025,37.906,38.67,39.485,37.395,9.55K,0.03%
13/06/2025,37.894,37.595,38.46,37.105,9.59K,4.75%
12/06/2025,36.177,36.405,36.5,35.765,8.37K,0.74%
11/06/2025,35.913,35.165,35.9,35.06,4.91K,3.68%
10/06/2025,34.638,35.555,35.555,34.55,4.63K,-2.72%
09/06/2025,35.605,36.145,36.245,35.45,4.95K,-1.78%
06/06/2025,36.251,36.55,36.72,35.955,4.61K,-0.39%
05/06/2025,36.393,35.705,36.59,35.705,3.86K,2.08%
04/06/2025,35.65,36.005,36.365,35.415,6.57K,-0.55%
03/06/2025,35.848,35.265,36,34.97,3.62K,2.38%
02/06/2025,35.015,34.1,35.485,34.1,4.19K,2.30%
30/05/2025,34.228,34.955,35.355,33.855,0.78K,-2.65%
29/05/2025,35.158,35.158,35.158,35.158,,-4.17%
28/05/2025,36.687,36.8,36.99,36.8,0.08K,-0.86%
27/05/2025,37.006,36.975,36.975,36.685,0.38K,1.53%
23/05/2025,36.45,36.4,36.77,35.88,0.47K,0.26%
22/05/2025,36.356,36.54,37.04,36.11,6.32K,-0.72%
21/05/2025,36.621,37.25,37.775,36.43,6.86K,-0.97%
20/05/2025,36.979,35.26,37.14,35.235,5.47K,4.98%
19/05/2025,35.225,35,35.46,34.9,3.82K,0.20%
16/05/2025,35.156,35.35,35.935,34.785,3.81K,-0.39%
15/05/2025,35.294,35.345,35.495,34.45,8.95K,0.70%
14/05/2025,35.048,35.65,35.68,34.425,5.20K,-1.95%
13/05/2025,35.744,35.015,36.15,35.01,7.76K,1.00%
12/05/2025,35.39,34.555,36.305,34.545,13.45K,2.23%
09/05/2025,34.618,35.7,35.99,34.32,7.11K,-2.05%
08/05/2025,35.341,34.22,35.745,34.22,8.95K,2.35%
07/05/2025,34.531,34.615,35.515,34.115,16.62K,-0.61%
06/05/2025,34.743,33.34,35.085,33.235,26.23K,5.51%
05/05/2025,32.93,32.79,33.065,32.6,3.08K,-0.45%
02/05/2025,33.078,32.095,33.63,32.085,4.78K,2.89%
01/05/2025,32.149,32.03,32.28,31.65,3.62K,-0.52%
30/04/2025,32.317,31.875,32.755,31.655,0.23K,1.45%
29/04/2025,31.856,30.9,31.5,30.9,0.00K,-1.67%
28/04/2025,32.398,32.7,32.7,32.275,0.07K,-0.10%
25/04/2025,32.432,33.445,33.445,31.95,7.19K,-3.40%
24/04/2025,33.574,34.05,34.14,33.08,12.55K,-1.72%
23/04/2025,34.16,34.675,34.975,33.925,11.56K,-0.25%
22/04/2025,34.244,35.85,35.85,34.025,6.15K,-3.96%
21/04/2025,35.657,35.657,35.657,35.657,,0.00%
17/04/2025,35.657,35.6,35.835,35.305,0.28K,0.98%
16/04/2025,35.312,33.905,35.63,33.905,2.86K,2.63%
15/04/2025,34.407,34.5,35.525,34.17,2.06K,-0.27%
14/04/2025,34.499,34.275,34.785,33.71,1.59K,3.10%
11/04/2025,33.463,33.725,34.055,32.805,12.78K,0.51%
10/04/2025,33.293,34.65,35.14,33.15,8.93K,-1.11%
09/04/2025,33.666,34.6,35.395,33.305,13.98K,-7.08%
08/04/2025,36.231,36.335,36.96,35.58,7.61K,-2.08%
07/04/2025,37,34.645,38.56,33.595,0.82K,1.65%
04/04/2025,36.401,39.25,39.25,35.265,3.86K,-7.15%
03/04/2025,39.203,39.75,40.46,38.455,6.65K,-4.99%
02/04/2025,41.263,42.475,42.95,40.87,3.65K,-2.80%
01/04/2025,42.45,40.875,42.7,40.45,2.02K,4.38%
31/03/2025,40.667,40.825,41.385,39.885,0.23K,0.20%
28/03/2025,40.587,40.9,40.9,40.9,0.00K,-1.49%
27/03/2025,41.202,41.1,41.425,41.1,0.02K,0.81%
26/03/2025,40.87,40.555,41.255,40.555,0.26K,-1.65%
25/03/2025,41.555,42.05,42.63,41.16,0.18K,-2.79%
24/03/2025,42.748,42.405,42.69,41.24,0.32K,0.34%
21/03/2025,42.605,44.755,44.755,42.03,0.27K,-0.58%
20/03/2025,42.855,43.86,44.15,42.675,0.49K,-1.15%
19/03/2025,43.355,42.505,43.94,41.96,16.91K,6.38%
18/03/2025,40.755,41.45,41.625,39.85,7.89K,-1.20%
17/03/2025,41.248,41.395,42.005,40.35,6.51K,-2.46%
14/03/2025,42.29,41.3,42.895,41.145,12.03K,0.51%
13/03/2025,42.076,42.455,43.625,40.545,0.49K,-0.42%
12/03/2025,42.254,42.645,43.345,41.295,5.50K,-1.07%
11/03/2025,42.71,41.405,43.56,40.865,4.77K,3.58%
10/03/2025,41.232,40.07,41.37,39.65,3.64K,3.15%
07/03/2025,39.971,37.325,41.5,37.205,5.76K,4.53%
06/03/2025,38.24,41.875,42,37.705,3.48K,-7.87%
05/03/2025,41.508,43.485,43.905,40.85,10.11K,-4.50%
04/03/2025,43.464,45.315,45.315,42.51,0.98K,-3.87%
03/03/2025,45.213,46.95,47.23,44.53,0.34K,2.01%
28/02/2025,44.32,46.5,46.545,44.11,0.25K,-1.36%
27/02/2025,44.93,44.375,44.56,44.375,0.01K,8.69%
26/02/2025,41.336,41.336,41.336,41.336,0.16K,-6.67%
25/02/2025,44.291,45.435,45.835,43.75,0.10K,-6.05%
24/02/2025,47.144,46.135,47.26,45.11,0.19K,-0.11%
21/02/2025,47.195,47.65,48.225,46.105,0.33K,-0.63%
20/02/2025,47.494,47.35,48.6,47.065,0.68K,-1.60%
19/02/2025,48.264,50,50.395,47.12,1.92K,-1.93%
18/02/2025,49.215,50.005,50.895,46.84,3.04K,-2.90%
14/02/2025,50.685,50.05,51.6,48.39,1.02K,-1.36%
13/02/2025,51.383,55.66,55.66,50.565,10.41K,-7.69%
12/02/2025,55.661,56.2,57,54.23,47.19K,-3.64%
11/02/2025,57.766,57.13,59.335,56.375,37.59K,-0.47%
10/02/2025,58.039,57.3,58.695,57.255,41.14K,4.16%
07/02/2025,55.723,53.815,56.05,53.66,24.71K,2.24%
06/02/2025,54.502,53.91,55.465,53.55,37.21K,1.99%
05/02/2025,53.438,51.85,53.905,51.85,8.89K,2.67%
04/02/2025,52.048,52.905,53.395,51.39,1.70K,-3.25%
03/02/2025,53.794,54.2,54.62,52.85,0.54K,1.05%
31/01/2025,53.237,52,53.755,51.945,1.52K,2.92%
